"n_SportID","c_Sport","c_SportShort","n_DateLocal","c_DateLocal","d_DateLocal","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","n_NrOfEvents","n_NrOfPhases","n_NrOfMatches","n_MedalsGold","n_MedalsSilver","n_MedalsBronze"
221,"Freestyle Skiing","FRS",20220211,"2022-02-11T00:00:00","/Date(1644537600000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
221,"Freestyle Skiing","FRS",20220212,"2022-02-12T00:00:00","/Date(1644624000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
221,"Freestyle Skiing","FRS",20220213,"2022-02-13T00:00:00","/Date(1644710400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
221,"Freestyle Skiing","FRS",20220214,"2022-02-14T00:00:00","/Date(1644796800000+0000)/","2022-02-14T10:00:00","2022-02-14T02:00:00","2022-02-14T19:00:00","2022-02-14T11:00:00",2,3,0,1,1,1
221,"Freestyle Skiing","FRS",20220215,"2022-02-15T00:00:00","/Date(1644883200000+0000)/","2022-02-15T09:30:00","2022-02-15T01:30:00","2022-02-15T19:00:00","2022-02-15T11:00:00",3,3,0,1,1,1
221,"Freestyle Skiing","FRS",20220216,"2022-02-16T00:00:00","/Date(1644969600000+0000)/","2022-02-16T09:30:00","2022-02-16T01:30:00","2022-02-16T19:00:00","2022-02-16T11:00:00",2,2,0,2,2,2
221,"Freestyle Skiing","FRS",20220217,"2022-02-17T00:00:00","/Date(1645056000000+0000)/","2022-02-17T09:30:00","2022-02-17T01:30:00","2022-02-17T15:10:00","2022-02-17T07:10:00",3,7,0,1,1,1
221,"Freestyle Skiing","FRS",20220218,"2022-02-18T00:00:00","/Date(1645142400000+0000)/","2022-02-18T09:30:00","2022-02-18T01:30:00","2022-02-18T15:10:00","2022-02-18T07:10:00",2,6,0,2,2,2
221,"Freestyle Skiing","FRS",20220219,"2022-02-19T00:00:00","/Date(1645228800000+0000)/","2022-02-19T09:30:00","2022-02-19T01:30:00","2022-02-19T09:30:00","2022-02-19T01:30:00",1,1,0,1,1,1
221,"Freestyle Skiing","FRS",20220220,"2022-02-20T00:00:00","/Date(1645315200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
113,"Hockey","IHO",20220202,"2022-02-02T00:00:00","/Date(1643760000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
113,"Hockey","IHO",20220203,"2022-02-03T00:00:00","/Date(1643846400000+0000)/","2022-02-03T12:10:00","2022-02-03T04:10:00","2022-02-03T21:10:00","2022-02-03T13:10:00",1,1,4,0,0,0
113,"Hockey","IHO",20220204,"2022-02-04T00:00:00","/Date(1643932800000+0000)/","2022-02-04T12:10:00","2022-02-04T04:10:00","2022-02-04T12:10:00","2022-02-04T04:10:00",1,1,2,0,0,0
113,"Hockey","IHO",20220205,"2022-02-05T00:00:00","/Date(1644019200000+0000)/","2022-02-05T12:10:00","2022-02-05T04:10:00","2022-02-05T21:10:00","2022-02-05T13:10:00",1,1,4,0,0,0
113,"Hockey","IHO",20220206,"2022-02-06T00:00:00","/Date(1644105600000+0000)/","2022-02-06T16:40:00","2022-02-06T08:40:00","2022-02-06T21:10:00","2022-02-06T13:10:00",1,1,2,0,0,0
113,"Hockey","IHO",20220207,"2022-02-07T00:00:00","/Date(1644192000000+0000)/","2022-02-07T13:15:00","2022-02-07T05:15:00","2022-02-07T21:10:00","2022-02-07T13:10:00",1,1,4,0,0,0
113,"Hockey","IHO",20220208,"2022-02-08T00:00:00","/Date(1644278400000+0000)/","2022-02-08T12:10:00","2022-02-08T04:10:00","2022-02-08T21:10:00","2022-02-08T13:10:00",1,1,4,0,0,0
113,"Hockey","IHO",20220209,"2022-02-09T00:00:00","/Date(1644364800000+0000)/","2022-02-09T16:40:00","2022-02-09T08:40:00","2022-02-09T21:10:00","2022-02-09T13:10:00",1,1,2,0,0,0
113,"Hockey","IHO",20220210,"2022-02-10T00:00:00","/Date(1644451200000+0000)/","2022-02-10T12:10:00","2022-02-10T04:10:00","2022-02-10T21:10:00","2022-02-10T13:10:00",1,1,4,0,0,0
113,"Hockey","IHO",20220211,"2022-02-11T00:00:00","/Date(1644537600000+0000)/","2022-02-11T12:10:00","2022-02-11T04:10:00","2022-02-11T21:10:00","2022-02-11T13:10:00",2,2,6,0,0,0
113,"Hockey","IHO",20220212,"2022-02-12T00:00:00","/Date(1644624000000+0000)/","2022-02-12T12:10:00","2022-02-12T04:10:00","2022-02-12T21:10:00","2022-02-12T13:10:00",2,2,6,0,0,0
113,"Hockey","IHO",20220213,"2022-02-13T00:00:00","/Date(1644710400000+0000)/","2022-02-13T12:10:00","2022-02-13T04:10:00","2022-02-13T21:10:00","2022-02-13T13:10:00",1,1,4,0,0,0
113,"Hockey","IHO",20220214,"2022-02-14T00:00:00","/Date(1644796800000+0000)/","2022-02-14T12:10:00","2022-02-14T04:10:00","2022-02-14T21:10:00","2022-02-14T13:10:00",1,1,2,0,0,0
113,"Hockey","IHO",20220215,"2022-02-15T00:00:00","/Date(1644883200000+0000)/","2022-02-15T12:10:00","2022-02-15T04:10:00","2022-02-15T21:10:00","2022-02-15T13:10:00",1,1,4,0,0,0
113,"Hockey","IHO",20220216,"2022-02-16T00:00:00","/Date(1644969600000+0000)/","2022-02-16T12:10:00","2022-02-16T04:10:00","2022-02-16T21:30:00","2022-02-16T13:30:00",2,2,5,0,0,1
113,"Hockey","IHO",20220217,"2022-02-17T00:00:00","/Date(1645056000000+0000)/","2022-02-17T12:10:00","2022-02-17T04:10:00","2022-02-17T12:10:00","2022-02-17T04:10:00",1,1,1,1,1,0
113,"Hockey","IHO",20220218,"2022-02-18T00:00:00","/Date(1645142400000+0000)/","2022-02-18T12:10:00","2022-02-18T04:10:00","2022-02-18T21:10:00","2022-02-18T13:10:00",1,1,2,0,0,0
113,"Hockey","IHO",20220219,"2022-02-19T00:00:00","/Date(1645228800000+0000)/","2022-02-19T21:10:00","2022-02-19T13:10:00","2022-02-19T21:10:00","2022-02-19T13:10:00",1,1,1,0,0,1
113,"Hockey","IHO",20220220,"2022-02-20T00:00:00","/Date(1645315200000+0000)/","2022-02-20T12:10:00","2022-02-20T04:10:00","2022-02-20T12:10:00","2022-02-20T04:10:00",1,1,1,1,1,0
214,"Luge","LUG",20220202,"2022-02-02T00:00:00","/Date(1643760000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
214,"Luge","LUG",20220203,"2022-02-03T00:00:00","/Date(1643846400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
